id,family,physical_term,coefficient,rescaled_ordered_pair_term,output_spin,output_boost,physical_R_power,explicit_R_power_in_regular_family,sharp_action,verification
c01,C12,-h_lm Delta Psi1,-1,-Csharp1 Delta_4 Z1_2,2,1,6,0,Csharp1=conj(C_-m1),ORG C1 operator; symbolic ordinary-NP to GHP check
c02,C12,(1/2) h_mm ethprime Psi1,1/2,(1/2) Bsharp1 ethprime_4 Z1_2,2,1,6,0,Bsharp1=conj(B_-m1),ORG C1 operator; symbolic ordinary-NP to GHP check
c03,C12,-(3/2) (Delta h_lm) Psi1,-3/2,-(3/2) (Delta_2 Csharp1) Z1_2,2,1,6,0,Csharp1=conj(C_-m1),ORG beta1/tau1 substitution
c04,C12,-(1/2) (ethprime h_mm) Psi1,-1/2,-(1/2) (ethprime_1 Bsharp1) Z1_2,2,1,6,0,Bsharp1=conj(B_-m1),angular connection cancellation
c05,C12,-(3/2) mu h_lm Psi1,-3/2,-(3/2) R mu0 Csharp1 Z1_2,2,1,7,1,Csharp1=conj(C_-m1),radial scaling
c06,C12,+mubar h_lm Psi1,1,+R mubar0 Csharp1 Z1_2,2,1,7,1,Csharp1=conj(C_-m1),radial scaling
c07,C12,+(5/2) pi h_mm Psi1,5/2,+(5/2) R pi0 Bsharp1 Z1_2,2,1,7,1,Bsharp1=conj(B_-m1),radial scaling
c08,C12,+(1/2) taubar h_mm Psi1,1/2,+(1/2) R taubar0 Bsharp1 Z1_2,2,1,7,1,Bsharp1=conj(B_-m1),radial scaling
b01,B12,-h_lbar Delta Psi0,-1,-C1 Delta_5 Z0_2,1,2,7,0,none,ORG B0 operator; raw fixed-tetrad Psi0 with Z0 peeling dependency
b02,B12,+(1/2) h_barbar eth Psi0,1/2,+(1/2) B1 eth_5 Z0_2,1,2,7,0,none,ORG B0 operator; symbolic ordinary-NP to GHP check
b03,B12,+(1/2) (Delta h_lbar) Psi0,1/2,+(1/2) (Delta_2 C1) Z0_2,1,2,7,0,none,ORG alpha1/pi1 substitution
b04,B12,+(eth h_barbar) Psi0,1,+(eth_1 B1) Z0_2,1,2,7,0,none,angular connection cancellation
b05,B12,-2 mu h_lbar Psi0,-2,-2 R mu0 C1 Z0_2,1,2,8,1,none,radial scaling
b06,B12,+(1/2) mubar h_lbar Psi0,1/2,+(1/2) R mubar0 C1 Z0_2,1,2,8,1,none,radial scaling
b07,B12,+pibar h_barbar Psi0,1,+R pibar0 B1 Z0_2,1,2,8,1,none,radial scaling
b08,B12,+(1/2) tau h_barbar Psi0,1/2,+(1/2) R tau0 B1 Z0_2,1,2,8,1,none,radial scaling
d01,D12,-(1/2) h_ll Delta Psi1,-1/2,-(1/2) V1 Delta_4 Z1_2,1,2,6,0,none,ORG D1 operator; symbolic ordinary-NP to GHP check
d02,D12,+(1/2) (Delta h_ll) Psi1,1/2,+(1/2) (Delta_2 V1) Z1_2,1,2,6,0,none,ORG epsilon1/rho1 substitution
